iter	Passed	Remaining
0	7	7563
1	15	7594
2	21	7059
3	27	6736
4	31	6354
5	38	6310
6	43	6223
7	48	6040
8	53	5942
9	60	5946
10	65	5893
11	70	5772
12	76	5787
13	81	5714
14	86	5677
15	91	5605
16	96	5560
17	100	5468
18	105	5459
19	110	5397
20	115	5397
21	121	5385
22	127	5435
23	133	5416
24	139	5457
25	146	5479
26	151	5470
27	158	5491
28	161	5395
29	165	5352
30	170	5333
31	175	5295
32	179	5258
33	184	5252
34	189	5220
35	193	5188
36	198	5154
37	203	5153
38	208	5129
39	213	5130
40	219	5128
41	224	5110
42	228	5085
43	235	5119
44	240	5104
45	244	5076
46	252	5120
47	257	5114
48	262	5095
49	268	5103
50	273	5085
51	278	5069
52	283	5064
53	288	5046
54	292	5030
55	297	5020
56	302	5002
57	306	4982
58	311	4963
59	316	4955
60	321	4945
61	325	4926
62	330	4918
63	335	4902
64	339	4888
65	344	4871
66	349	4864
67	354	4852
68	359	4848
69	365	4858
70	370	4850
71	374	4832
72	380	4825
73	386	4833
74	390	4817
75	399	4855
76	404	4846
77	410	4852
78	418	4879
79	424	4884
80	432	4904
81	440	4930
82	449	4961
83	454	4956
84	460	4959
85	468	4982
86	475	4989
87	487	5053
88	495	5073
89	500	5056
90	505	5049
91	510	5038
92	515	5028
93	520	5012
94	524	4999
95	529	4983
96	534	4972
97	538	4958
98	544	4951
99	548	4934
100	553	4929
101	559	4925
102	564	4920
103	569	4904
104	575	4901
105	579	4886
106	583	4873
107	588	4859
108	593	4849
109	597	4835
110	602	4828
111	608	4826
112	614	4823
113	618	4810
114	624	4808
115	630	4802
116	634	4789
117	640	4785
118	644	4773
119	649	4763
120	654	4752
121	659	4745
122	663	4730
123	668	4721
124	673	4714
125	679	4711
126	683	4697
127	688	4691
128	692	4678
129	697	4669
130	702	4658
131	707	4651
132	711	4638
133	716	4627
134	721	4620
135	725	4611
136	730	4599
137	735	4593
138	739	4583
139	744	4570
140	749	4563
141	754	4556
142	759	4550
143	763	4541
144	770	4543
145	776	4541
146	780	4531
147	787	4532
148	791	4521
149	797	4516
150	802	4509
151	806	4500
152	811	4490
153	816	4487
154	821	4475
155	825	4466
156	830	4456
157	835	4453
158	841	4450
159	848	4457
160	855	4457
161	859	4447
162	864	4441
163	869	4431
164	875	4429
165	879	4420
166	886	4423
167	891	4416
168	896	4407
169	901	4401
170	906	4393
171	911	4387
172	916	4379
173	921	4373
174	925	4362
175	930	4357
176	935	4349
177	940	4341
178	944	4332
179	949	4327
180	954	4316
181	958	4306
182	965	4309
183	972	4313
184	979	4316
185	985	4312
186	990	4306
187	995	4300
188	1000	4293
189	1004	4282
190	1009	4277
191	1014	4269
192	1019	4262
193	1023	4253
194	1029	4251
195	1034	4242
196	1038	4233
197	1043	4226
198	1048	4218
199	1052	4208
200	1057	4204
201	1062	4198
202	1067	4192
203	1072	4182
204	1079	4184
205	1084	4178
206	1089	4172
207	1096	4173
208	1103	4177
209	1110	4175
210	1116	4175
211	1122	4172
212	1128	4168
213	1132	4159
214	1137	4153
215	1142	4146
216	1147	4141
217	1152	4132
218	1157	4128
219	1162	4120
220	1167	4116
221	1173	4111
222	1177	4102
223	1182	4095
224	1187	4088
225	1194	4091
226	1199	4083
227	1203	4076
228	1208	4069
229	1213	4062
230	1217	4053
231	1223	4051
232	1228	4044
233	1234	4039
234	1239	4033
235	1243	4026
236	1248	4017
237	1252	4011
238	1257	4004
239	1262	3997
240	1266	3989
241	1272	3985
242	1276	3977
243	1281	3970
244	1286	3964
245	1291	3958
246	1295	3950
247	1301	3945
248	1308	3945
249	1313	3940
250	1318	3934
251	1323	3927
252	1327	3920
253	1332	3912
254	1336	3905
255	1342	3900
256	1346	3892
257	1351	3888
258	1356	3880
259	1361	3875
260	1366	3869
261	1371	3864
262	1377	3859
263	1382	3854
264	1387	3849
265	1392	3841
266	1397	3836
267	1404	3835
268	1409	3828
269	1413	3820
270	1417	3814
271	1422	3806
272	1426	3799
273	1432	3794
274	1436	3787
275	1441	3780
276	1446	3775
277	1451	3769
278	1456	3763
279	1460	3756
280	1466	3751
281	1470	3744
282	1475	3739
283	1480	3732
284	1485	3726
285	1489	3719
286	1494	3712
287	1499	3707
288	1504	3701
289	1508	3693
290	1514	3688
291	1519	3685
292	1524	3678
293	1529	3672
294	1534	3666
295	1538	3659
296	1543	3653
297	1548	3648
298	1553	3642
299	1557	3634
300	1563	3630
301	1567	3623
302	1572	3616
303	1577	3611
304	1583	3608
305	1588	3601
306	1594	3599
307	1600	3595
308	1605	3589
309	1610	3583
310	1616	3581
311	1621	3576
312	1627	3571
313	1632	3565
314	1636	3559
315	1641	3553
316	1646	3547
317	1651	3542
318	1656	3535
319	1662	3533
320	1666	3525
321	1671	3519
322	1677	3516
323	1682	3509
324	1686	3502
325	1691	3497
326	1696	3490
327	1701	3485
328	1706	3480
329	1712	3476
330	1717	3470
331	1721	3463
332	1726	3458
333	1731	3451
334	1735	3444
335	1741	3441
336	1746	3435
337	1750	3428
338	1755	3423
339	1760	3416
340	1764	3409
341	1770	3406
342	1775	3401
343	1780	3394
344	1784	3388
345	1790	3384
346	1795	3378
347	1799	3371
348	1804	3366
349	1809	3360
350	1818	3361
351	1824	3358
352	1829	3353
353	1834	3348
354	1839	3342
355	1845	3337
356	1849	3331
357	1856	3328
358	1860	3322
359	1865	3316
360	1871	3312
361	1876	3307
362	1880	3300
363	1887	3297
364	1893	3293
365	1898	3288
366	1903	3283
367	1908	3277
368	1913	3272
369	1919	3267
370	1926	3265
371	1931	3261
372	1938	3257
373	1943	3253
374	1949	3249
375	1955	3245
376	1961	3241
377	1967	3236
378	1972	3231
379	1977	3225
380	1983	3223
381	1988	3217
382	1993	3212
383	1999	3207
384	2004	3202
385	2011	3200
386	2018	3197
387	2023	3192
388	2029	3187
389	2034	3182
390	2040	3178
391	2046	3174
392	2052	3170
393	2058	3165
394	2063	3160
395	2069	3156
396	2075	3151
397	2080	3147
398	2086	3142
399	2091	3137
400	2098	3134
401	2104	3130
402	2108	3124
403	2114	3119
404	2119	3114
405	2126	3110
406	2131	3106
407	2137	3101
408	2142	3095
409	2147	3090
410	2153	3086
411	2158	3080
412	2163	3075
413	2169	3070
414	2175	3066
415	2180	3060
416	2186	3057
417	2191	3051
418	2197	3047
419	2202	3042
420	2208	3036
421	2214	3032
422	2218	3026
423	2223	3021
424	2228	3014
425	2233	3009
426	2239	3005
427	2244	2999
428	2249	2994
429	2254	2989
430	2260	2984
431	2265	2978
432	2271	2974
433	2276	2968
434	2281	2963
435	2286	2958
436	2291	2952
437	2296	2946
438	2302	2942
439	2307	2936
440	2312	2930
441	2317	2925
442	2323	2920
443	2328	2916
444	2333	2910
445	2340	2906
446	2345	2901
447	2351	2897
448	2357	2892
449	2362	2887
450	2368	2882
451	2373	2877
452	2379	2873
453	2385	2868
454	2390	2863
455	2395	2857
456	2400	2851
457	2405	2847
458	2411	2842
459	2417	2838
460	2424	2834
461	2428	2828
462	2434	2823
463	2439	2818
464	2445	2813
465	2451	2809
466	2456	2803
467	2461	2798
468	2467	2793
469	2472	2788
