iter	Logloss
0	0.640483811
1	0.6094713348
2	0.5826913418
3	0.5626299481
4	0.5450850727
5	0.5256685827
6	0.5157923545
7	0.5076323928
8	0.5007438367
9	0.4895018863
10	0.4834621101
11	0.4755272235
12	0.4678036216
13	0.4636477667
14	0.45839727
15	0.4560483877
16	0.4528805671
17	0.4496576547
18	0.4469646761
19	0.4436240479
20	0.4419997756
21	0.4397814563
22	0.4381859032
23	0.4366085056
24	0.4353703643
25	0.4338112896
26	0.4325670587
27	0.4311320436
28	0.4297208813
29	0.4286709657
30	0.4278008497
31	0.4266210434
32	0.425541134
33	0.4242427917
34	0.4234314701
35	0.4225187018
36	0.42174613
37	0.4209004173
38	0.4201387409
39	0.4195734752
40	0.4187726893
41	0.4178177053
42	0.416984122
43	0.4160922607
44	0.415216192
45	0.4145026568
46	0.4138203377
47	0.4131060755
48	0.4125323356
49	0.4119117584
50	0.4114865919
51	0.4111041058
52	0.4105801126
53	0.4098754025
54	0.4090122472
55	0.4086719591
56	0.4077752741
57	0.4072101215
58	0.4066509132
59	0.4061148791
60	0.4057201239
61	0.4052723189
62	0.4045815383
63	0.4041952576
64	0.4039094669
65	0.4034341593
66	0.4030792887
67	0.4025858031
68	0.4021298194
69	0.401595566
70	0.4012705316
71	0.4009480971
72	0.4003700722
73	0.4000773382
74	0.3997275478
75	0.3994176351
76	0.399114158
77	0.3985893138
78	0.3982870489
79	0.3978157952
80	0.3974061571
81	0.3967835099
82	0.3961623305
83	0.3959122028
84	0.3955025503
85	0.3951113314
86	0.3944745378
87	0.3941585808
88	0.3938581346
89	0.3934688644
90	0.3931864816
91	0.3929180443
92	0.3925520585
93	0.3921349626
94	0.3915022353
95	0.3909675138
96	0.3905483857
97	0.3899558171
98	0.3896380692
99	0.3893125858
100	0.389077214
101	0.3884952887
102	0.3880644999
103	0.387560033
104	0.387272996
105	0.3869480757
106	0.3866142213
107	0.3862536112
108	0.3857386855
109	0.385313042
110	0.3851145991
111	0.3844804444
112	0.3840877627
113	0.3836401423
114	0.3831820126
115	0.3828580838
116	0.3822948789
117	0.3816779835
118	0.3812398474
119	0.3809077861
120	0.3804175677
121	0.3798728378
122	0.3794853245
123	0.378963119
124	0.3784448113
125	0.3779277037
126	0.3774978958
127	0.3772034025
128	0.3767834291
129	0.3762778481
130	0.3758381552
131	0.3755134735
132	0.3750621983
133	0.3747670686
134	0.3745221744
135	0.3742424248
136	0.3736516121
137	0.3731441567
138	0.3728583657
139	0.3720544646
140	0.3715779216
141	0.3712138384
142	0.3707616197
143	0.3703962295
144	0.3702836418
145	0.3698810917
146	0.3695708668
147	0.3692746031
148	0.3690482756
149	0.3685644384
150	0.3681085425
151	0.3676152295
152	0.3672174089
153	0.3670234653
154	0.366607314
155	0.3662328046
156	0.3657205131
157	0.3654298643
158	0.3651597381
159	0.3646804411
160	0.3643143789
161	0.3638957461
162	0.3633895499
163	0.3630593293
164	0.3627848558
165	0.3623017126
166	0.3621594657
167	0.3616385481
168	0.3612583979
169	0.3608335849
170	0.360530187
171	0.3600614237
172	0.3595616851
173	0.3592679451
174	0.3589497405
175	0.3585967928
176	0.3582582064
177	0.3578929624
178	0.3574076058
179	0.3572170241
180	0.356782609
181	0.3564136857
182	0.3562193392
183	0.3558751252
184	0.3554537189
185	0.3551352122
186	0.3547257782
187	0.3542766283
188	0.3540637737
189	0.3539676964
190	0.3538470171
191	0.3534555685
192	0.3531822201
193	0.352848454
194	0.3524008684
195	0.35205452
196	0.3517861434
197	0.351445194
198	0.3512587668
199	0.350967134
200	0.3506491581
201	0.3504412464
202	0.3501484071
203	0.349752692
204	0.349451622
205	0.3488321345
206	0.3486247798
207	0.3483797984
208	0.347956813
209	0.3476698954
210	0.3473954586
211	0.3471720537
212	0.3470214983
213	0.3467196897
214	0.3464848728
215	0.3459585346
216	0.3456916174
217	0.3452406188
218	0.3449911702
219	0.3445036745
220	0.3442315941
221	0.3439590023
222	0.343706234
223	0.3432970094
224	0.3429059548
225	0.3424673858
226	0.3422290587
227	0.3418809513
228	0.3415445267
229	0.3412549744
230	0.3409648112
231	0.3407458066
232	0.3402719901
233	0.339865193
234	0.3395713883
235	0.3391319983
236	0.3389128781
237	0.3385114936
238	0.3381857681
239	0.3377783151
240	0.3374873578
241	0.337289945
242	0.3370927341
243	0.3366259901
244	0.336239176
245	0.3359488343
246	0.3356572589
247	0.3354422424
248	0.335219252
249	0.3349818359
250	0.3345410949
251	0.3343023981
252	0.3340535142
253	0.3338421635
254	0.3335741826
255	0.3332180124
256	0.3329174228
257	0.3326422345
258	0.3324021271
259	0.3320577233
260	0.3318483539
261	0.3312174077
262	0.3310358415
263	0.3308470296
264	0.3306154979
265	0.3303173525
266	0.3299460438
267	0.329568634
268	0.3291389314
269	0.3288949022
270	0.3285347404
271	0.3281323707
272	0.3279408992
273	0.3278078898
274	0.3275422071
275	0.3272226875
276	0.3270261721
277	0.3267029454
278	0.3263341748
279	0.3262309627
280	0.3259778921
281	0.3257781524
282	0.3252829293
283	0.3251409885
284	0.3247396568
285	0.3244182259
286	0.32417055
287	0.3238257525
288	0.323611016
289	0.3234484339
290	0.3232432147
291	0.322856093
292	0.3226379288
293	0.3223019768
294	0.3220784788
295	0.3217786536
296	0.3216066058
297	0.3213715096
298	0.3210348569
299	0.3208092796
300	0.3206211995
301	0.3203402458
302	0.3200740003
303	0.319812566
304	0.3195969618
305	0.3193223869
306	0.3190984395
307	0.3188017535
308	0.3186161448
309	0.3182587143
310	0.3178950356
311	0.3176614834
312	0.317242793
313	0.3169504138
314	0.3167396545
315	0.3163610264
316	0.3161990328
317	0.315935932
318	0.3157718894
319	0.315484872
320	0.3151872275
321	0.3149738931
322	0.3146750149
323	0.314443346
324	0.3142714387
325	0.313970974
326	0.3136685044
327	0.3134269296
328	0.3132021651
329	0.3127598454
330	0.3125573545
331	0.3123790159
332	0.3121505467
333	0.3118850051
334	0.3116888597
335	0.3114308175
336	0.3111841212
337	0.3110426288
338	0.3107603203
339	0.3104793578
340	0.3102819172
341	0.3099754852
342	0.3096217844
343	0.3093228231
344	0.3090770251
345	0.3088269018
346	0.3086009327
347	0.3083769554
348	0.3081530286
349	0.3078810517
350	0.3076150821
351	0.3072789025
352	0.3071052828
353	0.3066982812
354	0.3064481033
355	0.3062059573
356	0.3060300897
357	0.3058934863
358	0.3057577255
359	0.3054222226
360	0.3051735503
361	0.3049735839
362	0.3046554661
363	0.3043894196
364	0.3041892374
365	0.304001118
366	0.3036286046
367	0.3035348006
368	0.3033965407
369	0.3031006943
370	0.3028951145
371	0.3026747903
372	0.30240817
373	0.3023166448
374	0.3021734766
375	0.3020310868
376	0.3018795976
377	0.3016122941
378	0.3014350281
379	0.3012116133
380	0.3010136164
381	0.3007989915
382	0.3005234521
383	0.3003846017
384	0.3002169067
385	0.3000307691
386	0.2997907864
387	0.2995925928
388	0.2994536572
389	0.299162532
390	0.2990144412
391	0.298742751
392	0.2984707521
393	0.2982450912
394	0.2980487782
395	0.2978284508
396	0.2976620874
397	0.297451593
398	0.2970428495
399	0.29683595
400	0.2966957197
401	0.2964216713
