iter	Logloss
0	0.6450158555
1	0.613226221
2	0.5865967055
3	0.5660321531
4	0.5483528468
5	0.5271185574
6	0.5156974693
7	0.5025671354
8	0.4941796521
9	0.4858750407
10	0.4788215469
11	0.4741556708
12	0.4688572889
13	0.4639886325
14	0.4613776496
15	0.4566062637
16	0.4542138362
17	0.4516966499
18	0.4494009765
19	0.4477076736
20	0.4455136688
21	0.4439261763
22	0.4413679805
23	0.438754721
24	0.4368822673
25	0.4345081588
26	0.4332390056
27	0.4316739721
28	0.4314816627
29	0.4305744414
30	0.4294956979
31	0.4282807356
32	0.4270143452
33	0.4257311615
34	0.4248582999
35	0.4239321454
36	0.4230200961
37	0.422194551
38	0.4213017318
39	0.4198136743
40	0.4191348644
41	0.4176762647
42	0.4154808776
43	0.4144741834
44	0.4138916626
45	0.41323514
46	0.4121117507
47	0.4113168592
48	0.410481954
49	0.4096609097
50	0.4090051714
51	0.4084962954
52	0.4078596052
53	0.4072296632
54	0.406880142
55	0.4062651284
56	0.405853857
57	0.4052580693
58	0.4046160855
59	0.4041094039
60	0.4033753755
61	0.4026130984
62	0.4020334687
63	0.4016988799
64	0.4009546475
65	0.4004390245
66	0.3999403177
67	0.3994755519
68	0.3990332608
69	0.3985621852
70	0.3979952899
71	0.397373556
72	0.3970441356
73	0.3961100169
74	0.3954802404
75	0.3949639359
76	0.3944734339
77	0.3942270038
78	0.3938792182
79	0.3931821372
80	0.3927397495
81	0.3919964256
82	0.3913853473
83	0.3908303332
84	0.3903771049
85	0.3898172714
86	0.3894788344
87	0.3891430202
88	0.3888674466
89	0.3883300368
90	0.3879548254
91	0.3876250216
92	0.3870220915
93	0.3865359287
94	0.3859148567
95	0.3855851153
96	0.3852579807
97	0.3846988318
98	0.3840461192
99	0.3836783089
100	0.3832335593
101	0.3826537067
102	0.3824078647
103	0.3817393025
104	0.3811793999
105	0.3806367316
106	0.3804160253
107	0.3799600513
108	0.3792343195
109	0.3786336446
110	0.378380791
111	0.378017544
112	0.3774725364
113	0.3767992701
114	0.3762974661
115	0.3757680386
116	0.3753609723
117	0.3748156087
118	0.3744537434
119	0.3736821065
120	0.3728710475
121	0.3723973871
122	0.3719595435
123	0.3716824832
124	0.3712519612
125	0.3709330994
126	0.3703501969
127	0.3699311992
128	0.369377503
129	0.3689850726
130	0.3687122111
131	0.3679496145
132	0.3675426803
133	0.3669771551
134	0.3663720596
135	0.3659139649
136	0.3655974425
137	0.3649693295
138	0.3644300686
139	0.3638423661
140	0.3632494575
141	0.36294635
142	0.3626879974
143	0.3621002125
144	0.3616638996
145	0.3609969201
146	0.3604244667
147	0.3599282288
148	0.359671507
149	0.3594581321
150	0.359000685
151	0.358688625
152	0.3581341533
153	0.3576421456
154	0.3572263619
155	0.3567168783
156	0.3561821468
157	0.3556470185
158	0.3551500193
159	0.3549148015
160	0.3545194697
161	0.3539768967
162	0.3530602622
163	0.3523983487
164	0.3519040791
165	0.3514477435
166	0.3511353538
167	0.3507562459
168	0.3503371279
169	0.3498538598
170	0.3492742652
171	0.3489917984
172	0.348503568
173	0.3479153685
174	0.3474516592
175	0.3469209095
176	0.3465840494
177	0.3462691693
178	0.3458302546
179	0.3452165503
180	0.3449126582
181	0.3445602615
182	0.3441686606
183	0.3439084894
184	0.3436342811
185	0.3430550708
186	0.3425800357
187	0.3424601114
188	0.3422356995
189	0.3419081362
190	0.3416520893
191	0.341189059
192	0.3408627072
193	0.340389627
194	0.3397777165
195	0.3393516703
196	0.3389845362
197	0.3385626303
198	0.3380293263
199	0.3376737285
200	0.3373002955
201	0.3368576806
202	0.3363098862
203	0.3360761135
204	0.3356026663
205	0.3353768618
206	0.3351911465
207	0.33488293
208	0.3344058121
209	0.3341267144
210	0.3338182458
211	0.3333062303
212	0.3328149528
213	0.3325411701
214	0.3322650263
215	0.3321180713
216	0.331749501
217	0.3314318718
218	0.3311509593
219	0.3307170805
220	0.3302665837
221	0.3299817478
222	0.3295077107
223	0.3291954016
224	0.3286462609
225	0.3283314408
226	0.3281521773
227	0.3278940755
228	0.3276906734
229	0.3273891616
230	0.3268430947
231	0.3266159323
232	0.3261465726
233	0.3255796589
234	0.3253394518
235	0.3250740227
236	0.3247352641
237	0.3243162272
238	0.3241235022
239	0.3238691588
240	0.3233280888
241	0.3230341224
242	0.3227673303
243	0.322590962
244	0.3223783053
245	0.3219941365
246	0.3214447885
247	0.3211618018
248	0.3207945674
249	0.3206167229
250	0.3204219308
251	0.3201510451
252	0.3198927677
253	0.3195311396
254	0.3192204311
255	0.3189079349
256	0.3184950178
257	0.3182329621
258	0.3179523442
259	0.317587144
260	0.3172766024
261	0.3170619532
262	0.3168096848
263	0.3163354162
264	0.3161665121
265	0.3157487796
266	0.315265624
267	0.3150388279
268	0.3146626168
269	0.3142851539
270	0.314076339
271	0.3137302353
272	0.3135596093
273	0.3132268917
274	0.3128722251
275	0.3125306651
276	0.3122189877
277	0.3120446588
278	0.3115414045
279	0.3112184571
280	0.3108661922
281	0.3105968717
282	0.3102778443
283	0.3099658011
284	0.309558631
285	0.3093965813
286	0.3091945804
287	0.3087608497
288	0.3083896699
289	0.3082341032
290	0.308149198
291	0.3079887604
292	0.3076749392
293	0.3073346878
294	0.3069857821
295	0.306684975
296	0.3064539758
297	0.3062079248
298	0.3060479982
299	0.3057858914
300	0.3054482314
301	0.305200862
302	0.3048710988
303	0.304638491
304	0.3045076051
305	0.3041148638
306	0.3037555933
307	0.3035200416
308	0.303358948
309	0.3030797101
310	0.3028871113
311	0.3026523796
312	0.3023842641
313	0.3020079499
314	0.3016073899
315	0.301287082
316	0.3010081251
317	0.3007465382
318	0.3002831036
319	0.3000425856
320	0.2998094715
321	0.2995753811
322	0.2991450183
323	0.298677505
324	0.2984441395
325	0.2982771681
326	0.298140554
327	0.2980344867
328	0.2978680407
329	0.2976964965
330	0.2973252809
331	0.297088188
332	0.2967503218
333	0.29647223
334	0.2963071296
335	0.2959849994
336	0.2956097095
337	0.2954785531
338	0.2953276246
339	0.294843593
340	0.2945171453
341	0.2942242113
342	0.2939166023
343	0.2936892763
344	0.293412413
345	0.2930642952
346	0.2927981856
347	0.2925496619
348	0.2921955521
349	0.2920724826
350	0.2916967375
351	0.2914089752
352	0.2911064322
353	0.2908326741
354	0.2906303871
355	0.2905057216
356	0.2903474942
357	0.2902190846
358	0.2898388878
359	0.2896422885
360	0.289406916
361	0.289240092
362	0.2888954014
363	0.2887477833
364	0.2884173468
365	0.2880954824
366	0.2878801102
367	0.2875167619
368	0.287318001
369	0.2870887671
370	0.2869405097
371	0.2865270358
372	0.2861486343
373	0.2859011984
374	0.2856820425
375	0.2854085047
376	0.2851165328
377	0.284835537
378	0.2844878231
379	0.2842756023
380	0.2840776644
381	0.2839039269
382	0.283653338
383	0.2834707209
384	0.2831531983
385	0.2827574737
386	0.2826089316
387	0.2822397401
388	0.2821008746
389	0.2819896293
390	0.2817349657
391	0.281479226
392	0.2812726796
393	0.2809099691
394	0.2805655359
395	0.2803939795
396	0.2802973937
397	0.2800729928
398	0.2798697262
399	0.2795386457
400	0.2791327349
401	0.2789088953
402	0.2786832274
403	0.2784912392
404	0.2781513154
405	0.277862371
406	0.2776308928
407	0.2773015881
408	0.2769096118
409	0.2766657765
410	0.2763475593
411	0.2761307479
412	0.2759588268
413	0.2756175794
414	0.2753337745
415	0.2750120353
416	0.2747920579
417	0.2745530222
418	0.2742959523
419	0.2740386971
420	0.2737912118
421	0.2735698635
422	0.273286406
423	0.2729748771
424	0.2727867509
425	0.2726369349
426	0.272476207
427	0.2721032828
428	0.2719709016
429	0.2716805878
430	0.2714543243
431	0.2713039914
432	0.2710414919
433	0.270828824
434	0.2707150141
435	0.2706420546
436	0.2705017456
437	0.2702597422
438	0.2701024401
439	0.2698327168
440	0.2696523091
441	0.2694215957
442	0.2692572216
443	0.2690514668
444	0.2688620356
445	0.2682703849
446	0.2681210594
447	0.2679340555
448	0.2677625028
449	0.2675170302
450	0.2673024538
451	0.2670932979
452	0.2669433035
453	0.2668058179
454	0.2666034539
455	0.2665410797
456	0.2661213209
457	0.2659273351
458	0.2657887768
459	0.2655386948
460	0.2652127828
461	0.2648285586
462	0.264718347
463	0.2644794806
464	0.2643165413
465	0.2640885978
466	0.2638450548
467	0.2635693076
468	0.2633957364
469	0.2632055446
470	0.2630741758
471	0.2628453199
472	0.2626792373
473	0.262304702
474	0.2620081263
475	0.2618041916
476	0.2616491212
477	0.261538338
478	0.2614356204
479	0.2613654121
480	0.2611162442
481	0.2608504678
482	0.2605724298
483	0.2604297562
484	0.260131036
485	0.2597958292
486	0.259674748
487	0.2594364564
488	0.2591676035
489	0.2589939633
490	0.2587739184
491	0.2584212073
492	0.2582056856
493	0.2580986505
494	0.2578735228
495	0.2576270832
496	0.2574949521
497	0.2572816675
498	0.2571389833
499	0.2570065186
500	0.2568990953
501	0.2566146237
502	0.2564623184
503	0.2561705482
504	0.2560760034
505	0.2559224
506	0.2558796302
507	0.2557294945
508	0.2555112255
509	0.2551907637
510	0.254911755
511	0.2547312992
512	0.2545664483
513	0.2543986757
514	0.2540995016
515	0.2537134075
516	0.2535816015
517	0.2533764126
518	0.2532673959
519	0.2530255479
520	0.2528139035
521	0.2525822263
522	0.252307936
523	0.2519563491
524	0.251836472
525	0.2517167243
526	0.2515175386
527	0.2513468995
528	0.2512137201
529	0.2511295249
530	0.2509022647
531	0.2506505495
532	0.2503870057
533	0.2500840746
534	0.2499869345
535	0.2499155799
536	0.2496740839
537	0.2495674304
538	0.2495014779
539	0.2493318648
540	0.2490647884
541	0.2488496798
542	0.2486647417
543	0.2484394439
544	0.2482342578
545	0.2480972732
546	0.2478646813
547	0.2475238477
548	0.247213503
549	0.2470355916
550	0.2467782472
551	0.2464641939
552	0.2462381557
553	0.246151105
554	0.2458233268
555	0.2457296976
556	0.2454607019
557	0.2453099127
558	0.2450273256
559	0.2448721439
560	0.244714425
561	0.2445005601
562	0.2441891793
563	0.2439301423
564	0.2437338416
565	0.2436051001
566	0.2434266888
567	0.243289228
568	0.2432077542
569	0.2430784056
570	0.2428847385
571	0.2427432435
572	0.242594229
573	0.2424957838
574	0.2423558573
575	0.2422195924
576	0.2420472186
577	0.2419199327
578	0.2418168307
579	0.2417324288
580	0.2415674896
581	0.2414785011
582	0.2413067888
583	0.2410246805
584	0.2407731111
585	0.240709803
586	0.2405063261
587	0.240249301
588	0.2400943867
589	0.2400327144
590	0.2399513275
591	0.2397109833
592	0.2395364202
593	0.2393386713
594	0.2391696916
595	0.2388839183
596	0.2386016829
597	0.2383478064
598	0.2381498095
599	0.2378820378
600	0.2377163766
601	0.2375389207
602	0.2373927278
603	0.237147907
604	0.2370419831
605	0.23668013
606	0.2364985
607	0.2364610721
608	0.2363409694
609	0.236225083
610	0.2361180505
611	0.2359200104
612	0.2356775474
613	0.2354854464
614	0.2353377537
615	0.235169862
616	0.2350160984
617	0.234878926
618	0.2346631662
619	0.2346404595
620	0.2344980269
621	0.234374362
622	0.2341639991
623	0.2340370219
624	0.233903744
625	0.2337617354
626	0.2335709698
627	0.2334388454
628	0.2332597128
629	0.2330847917
630	0.2328682044
631	0.2327646737
632	0.2326841912
633	0.2325029205
634	0.2323511047
635	0.2321464466
636	0.2319328921
637	0.2315883929
638	0.231460709
639	0.2313718355
640	0.2312075177
641	0.2311203122
642	0.2309245594
643	0.2308579078
644	0.2306815171
645	0.2304442852
646	0.2303175052
647	0.2301296117
648	0.2299286216
649	0.2297178125
