iter	Passed	Remaining
0	10	10205
1	19	9618
2	30	9974
3	42	10659
4	48	9656
5	56	9328
6	61	8678
7	65	8093
8	71	7891
9	76	7525
10	81	7331
11	87	7218
12	92	7040
13	97	6861
14	103	6781
15	108	6649
16	113	6536
17	118	6463
18	124	6425
19	129	6328
20	134	6256
21	139	6186
22	143	6093
23	149	6093
24	154	6012
25	159	5956
26	163	5882
27	169	5889
28	172	5768
29	177	5740
30	182	5698
31	187	5683
32	193	5655
33	198	5638
34	202	5588
35	207	5568
36	212	5521
37	218	5521
38	222	5477
39	226	5443
40	232	5436
41	239	5459
42	243	5423
43	249	5424
44	254	5394
45	259	5373
46	264	5366
47	269	5345
48	274	5321
49	279	5303
50	284	5287
51	288	5257
52	292	5229
53	298	5232
54	303	5211
55	307	5189
56	313	5184
57	317	5160
58	322	5139
59	327	5127
60	334	5145
61	338	5122
62	344	5116
63	348	5097
64	353	5088
65	358	5070
66	364	5074
67	368	5055
68	374	5047
69	379	5038
70	386	5052
71	391	5052
72	398	5056
73	402	5038
74	408	5040
75	416	5069
76	422	5064
77	428	5063
78	434	5064
79	439	5057
80	445	5054
81	451	5050
82	456	5042
83	462	5047
84	467	5036
85	473	5029
86	478	5019
87	482	5004
88	489	5011
89	494	4996
90	499	4989
91	503	4971
92	511	4985
93	515	4969
94	520	4962
95	526	4961
96	531	4947
97	536	4935
98	541	4929
99	547	4924
100	551	4908
101	557	4904
102	561	4887
103	566	4877
104	571	4869
105	576	4864
106	581	4850
107	586	4841
108	591	4832
109	595	4821
110	600	4812
111	607	4814
112	611	4801
113	617	4796
114	623	4794
115	627	4785
116	632	4772
117	638	4769
118	644	4771
119	649	4759
120	654	4757
121	660	4751
122	665	4747
123	671	4740
124	676	4737
125	683	4737
126	687	4728
127	692	4717
128	696	4704
129	701	4697
130	706	4685
131	710	4673
132	717	4674
133	722	4667
134	727	4662
135	731	4649
136	736	4637
137	740	4627
138	745	4619
139	752	4623
140	758	4620
141	763	4612
142	768	4605
143	773	4599
144	778	4592
145	786	4600
146	794	4609
147	802	4622
148	808	4616
149	814	4615
150	819	4609
151	824	4599
152	829	4592
153	834	4585
154	839	4578
155	843	4566
156	850	4569
157	855	4559
158	860	4549
159	865	4545
160	870	4534
161	874	4523
162	880	4522
163	885	4512
164	889	4502
165	894	4495
166	899	4488
167	904	4478
168	909	4473
169	915	4469
170	920	4461
171	924	4452
172	930	4447
173	934	4437
174	939	4428
175	947	4433
176	952	4427
177	957	4420
178	962	4415
179	967	4405
180	971	4394
181	976	4390
182	980	4379
183	985	4371
184	993	4376
185	1001	4382
186	1009	4386
187	1014	4379
188	1018	4371
189	1023	4361
190	1028	4356
191	1033	4350
192	1038	4340
193	1044	4338
194	1048	4328
195	1053	4320
196	1058	4315
197	1065	4316
198	1072	4317
199	1078	4314
200	1084	4312
201	1089	4304
202	1094	4296
203	1098	4287
204	1103	4279
205	1108	4274
206	1113	4264
207	1117	4255
208	1123	4252
209	1127	4243
210	1132	4236
211	1137	4227
212	1143	4224
213	1147	4215
214	1152	4208
215	1159	4208
216	1164	4202
217	1169	4194
218	1174	4188
219	1179	4181
220	1183	4171
221	1188	4165
222	1192	4156
223	1197	4147
224	1201	4139
225	1207	4134
226	1211	4127
227	1216	4118
228	1221	4112
229	1226	4104
230	1230	4096
231	1235	4089
232	1240	4083
233	1244	4075
234	1249	4068
235	1254	4062
236	1260	4057
237	1265	4050
238	1270	4045
239	1274	4036
240	1279	4028
241	1286	4028
242	1290	4020
243	1294	4012
244	1300	4008
245	1305	4001
246	1310	3996
247	1316	3993
248	1323	3990
249	1328	3986
250	1334	3982
251	1339	3974
252	1344	3968
253	1349	3964
254	1355	3959
255	1363	3962
256	1370	3963
257	1378	3964
258	1385	3963
259	1392	3961
260	1399	3961
261	1405	3958
262	1410	3952
263	1417	3950
264	1422	3945
265	1427	3940
266	1435	3940
267	1439	3932
268	1447	3932
269	1453	3930
270	1458	3923
271	1465	3922
272	1472	3921
273	1476	3912
274	1485	3915
275	1492	3915
276	1500	3916
277	1505	3910
278	1510	3903
279	1517	3903
280	1526	3905
281	1533	3904
282	1540	3902
283	1547	3900
284	1553	3898
285	1559	3892
286	1564	3886
287	1570	3882
288	1574	3874
289	1581	3871
290	1585	3863
291	1590	3857
292	1596	3853
293	1602	3847
294	1607	3842
295	1613	3836
296	1618	3830
297	1622	3822
298	1628	3818
299	1633	3810
300	1638	3804
301	1643	3798
302	1649	3793
303	1655	3789
304	1661	3786
305	1666	3779
306	1670	3771
307	1677	3768
308	1686	3771
309	1692	3766
310	1700	3766
311	1704	3759
312	1711	3757
313	1716	3750
314	1721	3742
315	1727	3740
316	1732	3732
317	1737	3725
318	1742	3720
319	1748	3715
320	1752	3707
321	1759	3704
322	1764	3698
323	1769	3690
324	1776	3689
325	1781	3683
326	1786	3677
327	1793	3673
328	1797	3666
329	1803	3661
330	1808	3655
331	1813	3649
332	1818	3641
333	1824	3637
334	1828	3629
335	1833	3623
336	1839	3619
337	1844	3613
338	1849	3605
339	1855	3601
340	1859	3593
341	1864	3586
342	1869	3580
343	1875	3575
344	1879	3568
345	1884	3561
346	1889	3556
347	1895	3551
348	1901	3546
349	1905	3539
350	1910	3532
351	1915	3525
352	1921	3521
353	1925	3513
354	1930	3507
355	1935	3502
356	1941	3495
357	1945	3488
358	1950	3483
359	1955	3475
360	1959	3468
361	1963	3461
362	1970	3457
363	1975	3451
364	1980	3446
365	1988	3444
366	1993	3437
367	1997	3431
368	2002	3425
369	2008	3419
370	2012	3411
371	2018	3407
372	2022	3400
373	2027	3394
374	2033	3388
375	2038	3382
376	2042	3375
377	2048	3370
378	2052	3363
379	2057	3356
380	2061	3349
381	2066	3343
382	2071	3337
383	2075	3329
384	2082	3326
385	2087	3320
386	2092	3314
387	2098	3310
388	2103	3304
389	2108	3297
390	2115	3294
391	2119	3286
392	2123	3280
393	2130	3276
394	2136	3271
395	2140	3264
396	2146	3260
397	2151	3254
398	2155	3247
399	2161	3242
400	2166	3235
401	2170	3229
402	2176	3224
403	2181	3218
404	2186	3211
405	2191	3206
406	2196	3200
407	2201	3194
408	2205	3187
409	2212	3184
410	2217	3177
411	2221	3171
412	2227	3165
413	2231	3159
414	2236	3152
415	2243	3148
416	2247	3142
417	2252	3136
418	2257	3130
419	2262	3124
420	2266	3117
421	2272	3112
422	2277	3106
423	2282	3100
424	2286	3093
425	2292	3089
426	2298	3084
427	2302	3077
428	2308	3073
429	2313	3066
430	2318	3060
431	2323	3054
432	2329	3049
433	2335	3045
434	2343	3043
435	2348	3037
436	2352	3031
437	2358	3026
438	2362	3019
439	2367	3013
440	2373	3008
441	2379	3004
442	2383	2997
443	2390	2993
444	2395	2988
445	2400	2981
446	2405	2976
447	2410	2969
448	2415	2963
449	2420	2958
450	2425	2952
451	2429	2945
452	2435	2940
453	2439	2934
454	2444	2927
455	2448	2920
456	2454	2916
457	2459	2910
458	2463	2904
459	2469	2898
460	2474	2893
461	2478	2886
462	2483	2880
463	2489	2875
464	2494	2869
465	2499	2864
466	2504	2858
467	2509	2852
468	2513	2846
469	2518	2840
470	2523	2834
471	2528	2828
472	2533	2822
473	2537	2816
474	2543	2811
475	2548	2805
476	2553	2799
477	2558	2793
478	2562	2787
479	2568	2782
480	2573	2777
481	2578	2770
482	2584	2766
483	2588	2759
484	2593	2754
485	2600	2750
486	2605	2745
487	2610	2739
488	2616	2734
489	2622	2729
490	2627	2723
491	2633	2718
492	2639	2714
493	2643	2708
