iter	Passed	Remaining
0	5	5567
1	10	5165
2	15	5108
3	20	5099
4	24	4955
5	31	5186
6	36	5245
7	47	5881
8	53	5860
9	62	6149
10	71	6411
11	77	6374
12	88	6700
13	95	6757
14	112	7359
15	134	8297
16	146	8489
17	153	8384
18	160	8296
19	168	8263
20	176	8245
21	184	8190
22	191	8141
23	198	8053
24	204	7973
25	213	8006
26	218	7874
27	223	7765
28	228	7652
29	233	7553
30	240	7532
31	249	7555
32	256	7526
33	262	7463
34	270	7469
35	277	7441
36	284	7417
37	290	7363
38	297	7336
39	306	7360
40	316	7403
41	322	7346
42	331	7375
43	336	7319
44	342	7278
45	351	7299
46	360	7304
47	374	7433
48	383	7442
49	388	7376
50	397	7399
51	406	7403
52	418	7481
53	430	7539
54	439	7542
55	448	7558
56	457	7571
57	468	7601
58	479	7649
59	487	7639
60	497	7665
61	508	7690
62	514	7657
63	521	7620
64	530	7626
65	538	7624
66	547	7618
67	555	7611
68	562	7593
69	568	7558
70	576	7541
71	584	7528
72	593	7532
73	599	7498
74	606	7475
75	614	7467
76	621	7445
77	627	7421
78	633	7384
79	641	7376
80	647	7343
81	654	7327
82	660	7302
83	673	7340
84	683	7356
85	691	7352
86	699	7344
87	708	7341
88	715	7327
89	724	7327
90	730	7297
91	737	7281
92	742	7239
93	750	7233
94	757	7214
95	765	7206
96	774	7210
97	779	7177
98	790	7191
99	796	7170
100	804	7163
101	810	7133
102	818	7126
103	824	7105
104	831	7085
105	838	7074
106	845	7052
107	852	7041
108	860	7035
109	869	7031
110	875	7007
111	882	6998
112	889	6984
113	896	6965
114	903	6953
115	915	6974
116	921	6953
117	928	6937
118	935	6924
119	943	6916
120	953	6927
121	961	6920
122	967	6896
123	973	6880
124	982	6880
125	990	6872
126	997	6856
127	1004	6840
128	1017	6869
129	1023	6850
130	1034	6859
131	1045	6874
132	1053	6870
133	1065	6884
134	1072	6874
135	1080	6865
136	1086	6841
137	1092	6822
138	1098	6803
139	1104	6785
140	1117	6809
141	1127	6811
142	1131	6783
143	1141	6783
144	1149	6777
145	1156	6763
146	1165	6761
147	1173	6756
148	1180	6742
149	1186	6723
150	1195	6720
151	1200	6697
152	1206	6678
153	1213	6666
154	1220	6653
155	1226	6637
156	1233	6624
157	1241	6616
158	1250	6614
159	1260	6618
160	1267	6606
161	1277	6608
162	1283	6593
163	1292	6588
164	1301	6586
165	1310	6582
166	1319	6583
167	1327	6572
168	1333	6559
169	1348	6582
170	1358	6587
171	1365	6571
172	1372	6560
173	1379	6550
174	1387	6539
175	1395	6531
176	1403	6527
177	1412	6521
178	1418	6507
179	1427	6501
180	1432	6481
