iter	Logloss
0	0.6426741225
1	0.6136712312
2	0.587611075
3	0.5650519658
4	0.5491708831
5	0.5281342859
6	0.5172108714
7	0.5038322173
8	0.4947089405
9	0.4878186595
10	0.480252261
11	0.4757170514
12	0.4710680558
13	0.46604791
14	0.461738426
15	0.4589176241
16	0.455092051
17	0.4518796274
18	0.4493993687
19	0.4471163832
20	0.4446996758
21	0.4416215249
22	0.4398570321
23	0.4383856802
24	0.4358276127
25	0.4339591756
26	0.4325021135
27	0.4311529516
28	0.4309839271
29	0.4298930004
30	0.4292412444
31	0.4281866806
32	0.4269644604
33	0.4255263004
34	0.4244808103
35	0.4236532501
36	0.4223221222
37	0.4215417582
38	0.4208118472
39	0.4199830457
40	0.418950965
41	0.4178318877
42	0.4156464768
43	0.415133926
44	0.414467341
45	0.4133625718
46	0.4119555817
47	0.4113619988
48	0.4108310417
49	0.4100420516
50	0.4095760121
51	0.4086712637
52	0.4079449621
53	0.4074908642
54	0.4070709495
55	0.4063798336
56	0.4058883953
57	0.4050021287
58	0.4044401543
59	0.4040614328
60	0.4035488636
61	0.4029475297
62	0.4025802752
63	0.4021886912
64	0.40147213
65	0.4008386277
66	0.400467093
67	0.3999812001
68	0.3995422076
69	0.3991114276
70	0.3986505169
71	0.3981258253
72	0.3978750075
73	0.3973835646
74	0.3968533813
75	0.3963254306
76	0.3952187783
77	0.3948968644
78	0.3945272074
79	0.3940249722
80	0.3937617742
81	0.393168046
82	0.3923482578
83	0.3918812381
84	0.3910115172
85	0.3902043364
86	0.3899342183
87	0.3892898817
88	0.3890008454
89	0.388569175
90	0.3880887317
91	0.3876654182
92	0.3873118035
93	0.3870201684
94	0.3863430883
95	0.3859570274
96	0.3857204489
97	0.3854026364
98	0.3848473466
99	0.3844709866
100	0.3837212097
101	0.3832625563
102	0.3827002996
103	0.3822159043
104	0.381619572
105	0.3811352934
106	0.3807160947
107	0.3802723167
108	0.3797655896
109	0.3793078716
110	0.378653852
111	0.3781198746
112	0.3778089093
113	0.377270145
114	0.3766651372
115	0.376238752
116	0.3760050014
117	0.3755765468
118	0.375332747
119	0.3749029535
120	0.3745772224
121	0.3740108666
122	0.3736630873
123	0.3728421107
124	0.3723608058
125	0.371597397
126	0.3709542763
127	0.370120804
128	0.3693678835
129	0.3687236654
130	0.3683808663
131	0.3678136017
132	0.367388923
133	0.3670071492
134	0.3664433207
135	0.366105046
136	0.3655390618
137	0.3650249087
138	0.3644192203
139	0.3639007284
140	0.3634637191
141	0.3628704348
142	0.362455117
143	0.3621340834
144	0.3617210831
145	0.3610707294
146	0.3605372956
147	0.3601595515
148	0.3598352592
149	0.3592251778
150	0.3589290863
151	0.3585966231
152	0.3580348379
153	0.3575274896
154	0.3571088943
155	0.3567828962
156	0.3562467409
157	0.3558296699
158	0.3552228889
159	0.3548713319
160	0.3544664302
161	0.3538614166
162	0.3535452056
163	0.3530695595
164	0.3525856815
165	0.3521635151
166	0.3516721341
167	0.3512525637
168	0.3509074513
169	0.3504642083
170	0.3500892546
171	0.3498274578
172	0.3495374668
173	0.3488652274
174	0.3480803454
175	0.3477283154
176	0.3472427488
177	0.3468274198
178	0.3463216322
179	0.346060083
180	0.3456179581
181	0.3449460256
182	0.3445888514
183	0.344093249
184	0.3434573174
185	0.3432147944
186	0.3427417808
187	0.3424771254
188	0.341896887
189	0.3416018784
190	0.3412416939
191	0.340831068
192	0.340411521
193	0.3402833301
194	0.3399177541
195	0.3395341473
196	0.3392180247
197	0.3389029601
198	0.3385087222
199	0.3383092305
200	0.3380698685
201	0.3376981111
202	0.3372081564
203	0.336957642
204	0.3365402888
205	0.3361275702
206	0.3356525208
207	0.3353986633
208	0.3350862275
209	0.3345316501
210	0.3341863111
211	0.3336171527
212	0.3332334037
213	0.3330210146
214	0.3324817667
215	0.3320809744
216	0.3318157008
217	0.3315418025
218	0.3311022053
219	0.3306866655
220	0.3304306624
221	0.3300017815
222	0.3296517695
223	0.3294323815
224	0.3290348418
225	0.3288102873
226	0.3284323118
227	0.3281401287
228	0.3277909811
229	0.3273001226
230	0.3269747294
231	0.3266521588
232	0.32627417
233	0.3259765389
234	0.3255922268
235	0.3250802686
236	0.3247459768
237	0.3243232955
238	0.3241468872
239	0.3238395697
240	0.3234872334
241	0.3230625607
242	0.3227012217
243	0.3223152577
244	0.3220093321
245	0.3218259989
246	0.3213014382
247	0.3210420275
248	0.320792203
249	0.320471574
250	0.3200320881
251	0.3195095285
252	0.3192892124
253	0.3188723056
254	0.3186809193
255	0.3184153876
256	0.3179081789
257	0.3177063731
258	0.3175118257
259	0.3171978716
260	0.3168982765
261	0.3165767615
262	0.3162698595
263	0.3158968499
264	0.3155791492
265	0.3153061936
266	0.3149861128
267	0.3144643369
268	0.3141468478
269	0.3138012424
270	0.3136836581
271	0.3133364014
272	0.3130145761
273	0.3127812834
274	0.312415675
275	0.312215711
276	0.3119255059
277	0.3115909172
278	0.3112715324
279	0.3111471081
280	0.3107857883
281	0.3105693058
282	0.310410385
283	0.3098601216
284	0.3095355515
285	0.309252717
286	0.3089355959
287	0.3084575476
288	0.308179102
289	0.3078488863
290	0.3075828394
291	0.307195361
292	0.3069010483
293	0.3064772652
294	0.3062198511
295	0.3058649211
296	0.3056011886
297	0.305225236
298	0.304825714
299	0.3045830148
300	0.3041345658
301	0.3039860038
302	0.3036481651
303	0.303286245
304	0.3029103753
305	0.3025776033
306	0.3022469038
307	0.3019670958
308	0.3017642519
309	0.3014861982
310	0.3011568588
311	0.3009300936
312	0.300448626
313	0.3000775364
314	0.2997000283
315	0.299507483
316	0.2993300263
317	0.2991785761
318	0.2988439879
319	0.298575941
320	0.2984868995
321	0.2981511025
322	0.2976862239
323	0.2972902225
324	0.2970040276
325	0.2966460048
326	0.2963408006
327	0.2961175903
328	0.295696323
329	0.2954583667
330	0.2951744576
331	0.2948900388
332	0.29470381
333	0.2944958842
334	0.2942536834
335	0.2939634224
336	0.2936323742
337	0.2934569141
338	0.2931642352
339	0.2929379686
340	0.2926639073
341	0.292414342
342	0.2921759571
343	0.2918617907
344	0.2915662578
345	0.2913169529
346	0.2911040423
347	0.2907637812
348	0.290581064
349	0.2903191605
350	0.2899759747
351	0.2898087142
352	0.2896776109
353	0.289235266
354	0.2887558469
355	0.2884105597
356	0.2881925847
357	0.2878122528
358	0.2875566458
359	0.287400106
360	0.2871186393
361	0.2868679457
362	0.2867333969
363	0.2866735505
364	0.2864803857
365	0.2862314741
366	0.2859148634
367	0.2855418891
368	0.2853637991
369	0.2850380368
370	0.2848902114
371	0.2846715432
372	0.2844787588
373	0.2842514029
374	0.2839601703
375	0.2837545694
376	0.2834017905
377	0.2832532408
378	0.2830931857
379	0.2829211229
380	0.282827924
381	0.282545699
382	0.2823555441
383	0.282075327
384	0.2818008862
385	0.2815563625
386	0.2812735536
387	0.2810341275
388	0.28085899
389	0.2806101191
390	0.2804297203
391	0.2801330068
392	0.2800369254
393	0.2797743947
394	0.2795318778
395	0.2792783899
396	0.2789594338
397	0.278796655
398	0.2786216536
399	0.2784691838
400	0.278226502
401	0.2780050278
402	0.277781763
403	0.2774410353
404	0.2772908642
405	0.2770277812
406	0.2767513135
407	0.2764700672
408	0.276232439
409	0.275910756
410	0.2756498036
411	0.2754836869
412	0.2752521577
413	0.2750032617
414	0.2748436599
415	0.2745167688
416	0.2743636295
417	0.274145139
418	0.27396255
419	0.2736425147
420	0.2733763513
421	0.2732091335
422	0.2731538514
423	0.2729977077
424	0.2728248984
425	0.2726574665
426	0.2724525367
427	0.2720290473
428	0.2717688571
429	0.271478889
430	0.2713509245
431	0.2709708354
432	0.2706914653
433	0.2704529852
434	0.2703100629
435	0.2701091849
436	0.2696206306
437	0.2692975652
438	0.2690882897
439	0.2688403625
440	0.2686602068
441	0.2684025605
442	0.2681713406
443	0.2678136666
444	0.2675075108
445	0.2673237205
446	0.2672005706
447	0.2670834651
448	0.2668832309
449	0.2666310696
450	0.2663018058
451	0.2660915131
452	0.2660018826
453	0.2657827803
454	0.2656175401
455	0.2654589627
456	0.2652491918
457	0.2651482344
458	0.2647605499
459	0.2645204625
460	0.2643124273
461	0.2641192339
462	0.2639689675
463	0.263846262
464	0.263564191
465	0.2634524197
466	0.2633581779
467	0.2631203892
468	0.2630719762
469	0.2627653296
470	0.2626055969
471	0.262466665
