iter	Passed	Remaining
0	5	5357
1	9	4907
2	14	4890
3	19	4896
4	24	4788
5	29	4889
6	38	5402
7	45	5614
8	53	5888
9	61	6110
10	71	6393
11	80	6630
12	87	6644
13	92	6520
14	98	6476
15	105	6471
16	111	6473
17	119	6518
18	123	6400
19	131	6439
20	135	6337
21	140	6242
22	146	6235
23	151	6155
24	155	6067
25	160	5999
26	170	6150
27	178	6179
28	183	6135
29	189	6129
30	196	6127
31	202	6117
32	208	6102
33	214	6100
34	220	6082
35	226	6061
36	231	6025
37	236	5989
38	241	5942
39	246	5914
40	251	5878
41	255	5832
42	260	5808
43	266	5782
44	270	5743
45	275	5723
46	281	5708
47	285	5670
48	290	5645
49	296	5637
50	301	5618
51	307	5600
52	312	5583
53	317	5555
54	323	5551
55	328	5532
56	332	5508
57	337	5482
58	342	5464
59	346	5434
60	352	5426
61	356	5388
62	362	5386
63	366	5361
64	371	5350
65	377	5336
66	381	5316
67	386	5296
68	393	5309
69	398	5292
70	402	5270
71	409	5276
72	413	5254
73	420	5256
74	425	5247
75	434	5281
76	441	5297
77	447	5290
78	453	5289
79	460	5297
80	467	5305
81	474	5309
82	480	5304
83	485	5296
84	491	5289
85	496	5275
86	502	5274
87	510	5286
88	516	5286
89	524	5306
90	531	5310
91	539	5322
92	548	5345
93	557	5373
94	564	5377
95	571	5384
96	581	5410
97	589	5422
98	596	5432
99	603	5432
100	609	5421
101	614	5406
102	619	5396
103	624	5380
104	628	5361
105	637	5380
106	647	5403
107	655	5416
108	660	5399
109	666	5395
110	673	5391
111	678	5377
112	686	5385
113	693	5389
114	702	5409
115	710	5413
116	718	5420
117	725	5424
118	734	5439
119	742	5446
120	751	5456
121	758	5458
122	766	5467
123	774	5468
124	782	5478
125	791	5491
126	798	5487
127	807	5503
128	814	5498
129	821	5495
130	827	5487
131	832	5472
132	838	5464
133	844	5459
134	849	5445
135	854	5431
136	860	5420
137	865	5404
138	869	5384
139	874	5373
140	879	5357
141	885	5347
142	891	5339
143	899	5346
144	911	5373
145	921	5390
146	929	5395
147	936	5392
148	944	5391
149	949	5379
150	955	5372
151	960	5356
152	965	5346
153	970	5329
154	975	5317
155	980	5302
156	985	5291
157	992	5290
158	997	5277
159	1002	5265
160	1007	5252
161	1013	5241
162	1017	5225
163	1023	5218
164	1029	5207
165	1033	5193
166	1038	5181
167	1044	5172
168	1049	5160
169	1055	5155
170	1061	5146
171	1065	5130
172	1071	5124
173	1076	5109
174	1081	5098
175	1087	5093
176	1092	5079
177	1096	5064
178	1103	5059
179	1109	5056
180	1114	5043
181	1123	5049
182	1130	5047
183	1138	5046
184	1142	5032
185	1147	5020
186	1153	5014
187	1159	5007
188	1164	4995
189	1169	4985
190	1174	4973
191	1178	4960
192	1184	4951
193	1189	4941
194	1194	4929
195	1201	4928
196	1208	4927
197	1214	4920
198	1219	4908
199	1224	4899
200	1229	4888
201	1239	4898
202	1246	4891
203	1250	4878
204	1256	4870
205	1260	4859
206	1266	4852
207	1271	4842
208	1276	4830
209	1282	4823
210	1286	4811
211	1291	4799
212	1297	4793
213	1302	4783
214	1307	4773
