iter	Logloss
0	0.6418443712
1	0.6043295708
2	0.5824858874
3	0.559377144
4	0.5441060358
5	0.5247295475
6	0.5132494674
7	0.4990223251
8	0.4901295624
9	0.4828692683
10	0.4761748935
11	0.4708552329
12	0.4671088021
13	0.4629073208
14	0.460639413
15	0.4558741514
16	0.4520181429
17	0.4486468827
18	0.4462955303
19	0.443285635
20	0.4414285091
21	0.4399248605
22	0.4378824226
23	0.4363500605
24	0.4342682108
25	0.4324100124
26	0.4309567292
27	0.4294659002
28	0.4293247722
29	0.4276569079
30	0.4264694893
31	0.4253854363
32	0.4240870931
33	0.4230441096
34	0.4219423421
35	0.4208710648
36	0.4200747212
37	0.4187599029
38	0.4174519808
39	0.4163297416
40	0.4157778467
41	0.4152829808
42	0.4147221977
43	0.4134517565
44	0.4129957436
45	0.4123265706
46	0.4114290472
47	0.4106004468
48	0.4101856911
49	0.409419385
50	0.4085055765
51	0.4078296718
52	0.4071927736
53	0.4064995231
54	0.4060735568
55	0.4056513623
56	0.405132032
57	0.4047991646
58	0.4043644185
59	0.4039514902
60	0.4031170944
61	0.4030046131
62	0.4023974876
63	0.4019397669
64	0.401512314
65	0.4011577696
66	0.4005367783
67	0.4001465308
68	0.3996840905
69	0.3989807853
70	0.3985492273
71	0.3980371306
72	0.3973363521
73	0.3966796609
74	0.3959622259
75	0.3953478059
76	0.39468308
77	0.394279649
78	0.3936079449
79	0.3930066196
80	0.3925151187
81	0.3920448616
82	0.3917012223
83	0.3906701434
84	0.3900611491
85	0.3896556774
86	0.3893970954
87	0.3889616327
88	0.388599303
89	0.3881735135
90	0.3877538977
91	0.3873029125
92	0.3869658143
93	0.3864324481
94	0.3860337318
95	0.3857811287
96	0.3854142327
97	0.3846457339
98	0.3841139819
99	0.3834801621
100	0.3830553525
101	0.3826571554
102	0.3822644219
103	0.3816098937
104	0.3811452378
105	0.380693309
106	0.3799937624
107	0.3794711737
108	0.3785769327
109	0.3781827503
110	0.377611664
111	0.3772994228
112	0.3767697957
113	0.376135675
114	0.3755679733
115	0.3749441566
116	0.3746233046
117	0.3740844393
118	0.3736354828
119	0.3732749313
120	0.3728183387
121	0.3724136498
122	0.3716646195
123	0.3708298793
124	0.3704399882
125	0.3701424925
126	0.3697099755
127	0.3691432064
128	0.3686582447
129	0.3680187984
130	0.3675497218
131	0.367070687
132	0.3667204832
133	0.3662808804
134	0.3657095837
135	0.3651212323
136	0.3645775866
137	0.3639461439
138	0.3634834683
139	0.3631754683
140	0.3626369135
141	0.3621986451
142	0.3617074551
143	0.3612774643
144	0.3608447757
145	0.3603055482
146	0.3599159562
147	0.3596883483
148	0.3593235924
149	0.3588448791
150	0.3584364836
151	0.3581383068
152	0.3577189876
153	0.3571916001
154	0.3569531733
155	0.3565509657
156	0.3562655861
157	0.3558270761
158	0.3551736784
159	0.3546143496
