iter	Logloss
0	0.6440331777
1	0.6143382101
2	0.5807924796
3	0.5609763596
4	0.5465763453
5	0.5313823753
6	0.5182697939
7	0.5098076951
8	0.5001739503
9	0.4924363552
10	0.4830155812
11	0.4778122982
12	0.4729466274
13	0.4669252297
14	0.4625283794
15	0.4586737511
16	0.4553387802
17	0.4512918623
18	0.4487430713
19	0.4465368327
20	0.4446315811
21	0.4416303244
22	0.4389767384
23	0.43727495
24	0.4355407491
25	0.4339150699
26	0.4320482959
27	0.4307115919
28	0.4284253095
29	0.4269528323
30	0.4257074596
31	0.4242868224
32	0.4230917434
33	0.421561411
34	0.4206037923
35	0.4196061241
36	0.4186036163
37	0.4175178694
38	0.4167283928
39	0.4157973147
40	0.4145467892
41	0.4136943222
42	0.4132021325
43	0.4120847077
44	0.4114200457
45	0.4103181161
46	0.4094751833
47	0.408522981
48	0.4079191977
49	0.4073869466
50	0.4070621243
51	0.4062127096
52	0.4054392441
53	0.4048246618
54	0.4043397939
55	0.4036785009
56	0.4026921795
57	0.4019531919
58	0.4017353482
59	0.4011821274
60	0.4003155924
61	0.3993654668
62	0.3988671987
63	0.3985736169
64	0.3981014138
65	0.3976458865
66	0.3973530507
67	0.3967945553
68	0.3962699793
69	0.3959545706
70	0.395412504
71	0.395071373
72	0.3946247111
73	0.3942882313
74	0.3940188219
75	0.3934317998
76	0.3929036359
77	0.3920386307
78	0.3915719711
79	0.3911225513
80	0.39079506
81	0.3898161601
82	0.3893646214
83	0.3887002823
84	0.3880798963
85	0.387675613
86	0.387310281
87	0.3866673501
88	0.3863230391
89	0.3857451368
90	0.3852991599
91	0.3845608052
92	0.3842027923
93	0.3837892896
94	0.3829383642
95	0.38274737
96	0.3822823653
97	0.3820403655
98	0.3811408301
99	0.3806010873
100	0.3804276188
101	0.3797736191
102	0.3790389859
103	0.378575293
104	0.3781617582
105	0.3776837994
106	0.377136158
107	0.3767581555
108	0.3760125736
109	0.3756155234
110	0.3753234645
111	0.3747918178
112	0.3740816937
113	0.3734813954
114	0.3727955555
115	0.3722629748
116	0.3717808725
117	0.3713267856
118	0.3707700288
119	0.370401957
120	0.3699916183
121	0.3692374597
122	0.368729353
123	0.3684217362
124	0.3679653366
125	0.3674818648
126	0.3667997997
127	0.3662423263
128	0.3656954297
129	0.3651389395
130	0.3648901177
131	0.3645476011
132	0.3642283989
133	0.3636341502
134	0.3632702554
135	0.3627714136
136	0.362282008
137	0.3616563461
138	0.3611361602
139	0.3606272953
140	0.3600485366
141	0.3589157884
142	0.358646687
143	0.3583141264
144	0.3581469547
145	0.3578348076
146	0.3573562315
147	0.3568721329
148	0.3565365235
149	0.3562973138
150	0.3557913558
151	0.3554647811
152	0.3551886616
153	0.3547132702
154	0.3545418583
155	0.3542052142
156	0.3536089721
157	0.3532457324
158	0.3526899556
159	0.3523402489
160	0.3519477797
161	0.3515635954
162	0.3509304659
163	0.3504473804
164	0.350172417
165	0.3499377532
166	0.3496017715
167	0.349251071
168	0.3489048916
169	0.3484524135
170	0.3480443543
171	0.3477288052
172	0.3474349519
173	0.3470554002
174	0.3466731161
175	0.346273985
176	0.3458387377
177	0.3455673844
178	0.3450982043
179	0.344754005
180	0.3444113063
181	0.3439664946
182	0.3435721896
183	0.3432978566
184	0.3430598986
185	0.3424543369
186	0.3420266105
187	0.3414523374
188	0.3408820265
189	0.3405363168
190	0.3402216429
191	0.3399041271
192	0.3396486529
193	0.3393228169
194	0.3389933309
195	0.3388450335
196	0.3383619841
197	0.3381905967
198	0.3375910926
199	0.3373147061
200	0.3368476465
201	0.3363873955
202	0.3357001461
203	0.3353437644
204	0.3349360634
205	0.3346842766
206	0.3342717599
207	0.3340357392
208	0.333632069
209	0.3332443357
210	0.3329731014
211	0.3328226005
212	0.3324335416
213	0.3320169536
214	0.3318698844
215	0.3312780481
216	0.3309001047
217	0.3307341146
218	0.3303409539
219	0.3301078646
220	0.3297725862
221	0.3295036199
222	0.3291645492
223	0.3287538525
224	0.3282463155
225	0.3279271197
226	0.3274112421
227	0.3270125267
228	0.3267184525
229	0.3264091169
230	0.3261266669
231	0.3258032566
232	0.3251608818
233	0.3248183061
234	0.3242871165
235	0.3241440532
236	0.3239056798
237	0.323708093
238	0.3233704376
239	0.3231215933
240	0.3228414673
241	0.3224982483
242	0.3221018038
243	0.3217871079
244	0.3215589798
245	0.3212887782
246	0.3208146108
247	0.3205392297
248	0.3200511246
249	0.3198163027
250	0.319354638
251	0.3189541984
252	0.3184101516
253	0.3181507054
254	0.3177932012
255	0.3174085257
256	0.3171679294
257	0.3167422973
258	0.3163771772
259	0.3160630611
260	0.3158915255
261	0.3156648956
262	0.3155962502
263	0.3152461226
264	0.3149867112
265	0.3148073984
266	0.3144799231
267	0.314196671
268	0.313872907
269	0.3134983444
270	0.3132361261
271	0.3128940667
272	0.3124491831
273	0.3120911859
274	0.3116094993
275	0.3113492984
276	0.3109199153
277	0.3107335062
278	0.3104400959
279	0.3102806361
280	0.3100383564
281	0.3099542033
282	0.3094456111
283	0.3090187591
284	0.3088164302
285	0.3085310428
286	0.3082174615
287	0.3081360129
288	0.307915546
289	0.307587085
290	0.3071587814
291	0.3070009183
292	0.3067558292
293	0.3065241806
294	0.3062203214
295	0.3059275523
296	0.3055564864
297	0.3052050544
298	0.304961443
299	0.3046695188
300	0.3045044021
301	0.3043832851
302	0.3041141843
303	0.3039462286
304	0.303722799
305	0.3035832059
306	0.303285505
307	0.3028890522
